"C:\Program Files\Java\jdk-12.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\lib\idea_rt.jar=59074:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Keval\IdeaProjects\CollectionsProjectHomework\out\production\CollectionsProjectHomework com.company.CollectionsRunner
Part II:
Total words in War and Peace: 576150
Duration: 1109 millisecndonds
'a' occured: 10608
'aah' occured: 1
'ab' occured: 1
'aback' occured: 3
'abacus' occured: 1
'abandon' occured: 25
'abandoned' occured: 54
'abandoning' occured: 26
'abandonment' occured: 14
'abandons' occured: 1
'abasement' occured: 1
'abashed' occured: 13
'abate' occured: 2
'abbe' occured: 19
'abbreviations' occured: 1
'abc' occured: 1
'abdicate' occured: 1
'abdomen' occured: 2
'abdomens' occured: 2
'abduction' occured: 3
'abductors' occured: 1
'abhorrence' occured: 1
'abide' occured: 1
'ability' occured: 4
'ablaze' occured: 2
'able' occured: 107
'abnegation' occured: 2
'abnormal' occured: 1
'abnormally' occured: 1
'abodes' occured: 1
'abolishing' occured: 1
'abolition' occured: 1
'abominable' occured: 7
'abominably' occured: 1
'abounding' occured: 1
'about' occured: 1019
'above' occured: 146
'aboveboard' occured: 1
'abramovna' occured: 1
'abreast' occured: 5
'abroad' occured: 33
'abrupt' occured: 6
'abruptly' occured: 10
'absence' occured: 48
'absent' occured: 36
'absentees' occured: 1
'absently' occured: 6
'absolute' occured: 16
'absolutely' occured: 21
'absolved' occured: 1
'absorb' occured: 1
'absorbed' occured: 32
'absorption' occured: 2
'abstain' occured: 2
'abstained' occured: 2
'abstaining' occured: 2
'abstemious' occured: 1
'abstention' occured: 1
'abstiens' occured: 1
'abstract' occured: 9
'abstraction' occured: 6
'absurd' occured: 13
'absurdity' occured: 4
'absurdly' occured: 1
'abundance' occured: 4
'abundant' occured: 2
'abundantly' occured: 1
'abuse' occured: 10
'abused' occured: 5
'abuses' occured: 2
'abusing' occured: 3
'abyss' occured: 3
'academy' occured: 1
'accelerate' occured: 1
'accent' occured: 11
'accents' occured: 1
'accentuated' occured: 1
'accentuating' occured: 2
'accept' occured: 24
'acceptance' occured: 1
'accepted' occured: 36
'accepting' occured: 4
'accepts' occured: 2
'access' occured: 11
'accessed' occured: 1
'accessible' occured: 4
'accident' occured: 5
'accidental' occured: 2
'accidentally' occured: 6
'accidently' occured: 1
'accidents' occured: 2
'acclaimed' occured: 1
'acclamations' occured: 2
'accommodate' occured: 1
'accommodated' occured: 1
'accommodation' occured: 2
'accompanied' occured: 44
'accompanies' occured: 2
'accompaniment' occured: 2
'accompany' occured: 9
'accompanying' occured: 9
'accomplish' occured: 4
'accomplished' occured: 20
'accomplishing' occured: 1
'accomplishment' occured: 2
'accomplishments' occured: 1
'accord' occured: 24
'accordance' occured: 7
'accorded' occured: 1
'according' occured: 70
'accordingly' occured: 4
'accoucheur' occured: 1
'account' occured: 69
'accountant' occured: 9
'accounted' occured: 2
'accounts' occured: 22
'accouterments' occured: 1
'accrue' occured: 1
'accumulated' occured: 1
'accuracy' occured: 5
'accurate' occured: 2
'accurately' occured: 5
'accusations' occured: 2
'accuse' occured: 2
'accused' occured: 11
'accusers' occured: 1
'accuses' occured: 2
'accusing' occured: 1
'accustom' occured: 3
'accustomed' occured: 43
'ace' occured: 1
'ache' occured: 3
'aches' occured: 3
'achieve' occured: 4
'achieved' occured: 4
'achievement' occured: 6
'achievements' occured: 1
'achilles' occured: 6
'aching' occured: 4
'achtung' occured: 1
'acid' occured: 1
'acknowledge' occured: 6
'acknowledged' occured: 6
'acknowledging' occured: 6
'acknowledgment' occured: 2
'acme' occured: 2
'acquaintance' occured: 39
'acquaintances' occured: 39
'acquainted' occured: 18
'acquire' occured: 2
'acquired' occured: 12
'acquiring' occured: 2
'acquitted' occured: 1
'acre' occured: 1
'acres' occured: 3
'acrid' occured: 1
'across' occured: 116
'act' occured: 64
'acte' occured: 2
'acted' occured: 23
'acting' occured: 16
'action' occured: 195
'actions' occured: 71
'active' occured: 24
'actively' occured: 2
'activities' occured: 12
'activity' occured: 109
'actor' occured: 4
'actors' occured: 3
'actress' occured: 4
'actresses' occured: 3
'acts' occured: 9
'actual' occured: 16
'actually' occured: 13
'actuated' occured: 2
'acute' occured: 7
'acutely' occured: 3
'adam' occured: 3
'adapt' occured: 1
'adaptations' occured: 1
'adapted' occured: 2
'adapting' occured: 2
'add' occured: 8
'added' occured: 210
'addicted' occured: 1
'adding' occured: 10
'addition' occured: 5
'additional' occured: 7
'additions' occured: 2
'address' occured: 30
'addressed' occured: 61
'addresses' occured: 1
'addressing' occured: 70
'adducing' occured: 1
'adele' occured: 1
'adept' occured: 2
'adequately' occured: 1
'adhere' occured: 1
'adhered' occured: 1
'adherents' occured: 4
'adhesion' occured: 1
'adieu' occured: 5
'adjacent' occured: 3
'adjoining' occured: 11
'adjust' occured: 1
'adjusted' occured: 9
'adjusting' occured: 4
'adjutant' occured: 166
'adjutants' occured: 38
'administer' occured: 2
'administered' occured: 4
'administration' occured: 4
'administrative' occured: 6
'administrator' occured: 4
'administrators' occured: 1
'admirable' occured: 10
'admirably' occured: 2
'admiral' occured: 1
'admiration' occured: 10
'admire' occured: 3
'admired' occured: 12
'admirer' occured: 2
'admires' occured: 1
'admiring' occured: 5
'admiringly' occured: 1
'admission' occured: 3
'admit' occured: 44
'admits' occured: 3
'admitted' occured: 27
'admitting' occured: 16
'admonish' occured: 2
'admonishing' occured: 1
'admonishingly' occured: 1
'admonitory' occured: 1
'adonai' occured: 1
'adopt' occured: 7
'adopted' occured: 16
'adopting' occured: 3
'adorable' occured: 2
'adoration' occured: 4
'adore' occured: 3
'adored' occured: 15
'adorer' occured: 4
'adorers' occured: 1
'adores' occured: 1
'adoring' occured: 2
'adorn' occured: 2
'adorning' occured: 1
'adornment' occured: 1
'adraksin' occured: 4
'adroit' occured: 5
'adroitly' occured: 2
'adroitness' occured: 3
'adulation' occured: 2
'advance' occured: 64
'advanced' occured: 56
'advances' occured: 2
'advancing' occured: 27
'advantage' occured: 30
'advantageous' occured: 14
'advantageously' occured: 3
'advantages' occured: 14
'adve' occured: 1
'advent' occured: 1
'adventure' occured: 2
'adventures' occured: 6
'adversary' occured: 2
'advice' occured: 31
'advisable' occured: 1
'advise' occured: 8
'advised' occured: 22
'adviser' occured: 1
'advisers' occured: 9
'advising' occured: 3
'advocated' occured: 1
'advocates' occured: 3
'advocating' occured: 1
'aerial' occured: 1
'afar' occured: 2
'affability' occured: 1
'affable' occured: 2
'affably' occured: 1
'affair' occured: 76
'affaires' occured: 2
'affairs' occured: 120
'affect' occured: 6
'affectation' occured: 11
'affected' occured: 19
'affecting' occured: 3
'affection' occured: 18
'affectionate' occured: 20
'affectionately' occured: 9
'affetto' occured: 2
'affianced' occured: 6
'affinity' occured: 3
'affirm' occured: 1
'affirmative' occured: 2
'affirmatively' occured: 4
'affirming' occured: 1
'afflicted' occured: 1
'afford' occured: 1
'afforded' occured: 5
'affording' occured: 3
'affords' occured: 2
'affright' occured: 1
'affronted' occured: 1
'affronts' occured: 1
'aflame' occured: 1
'afloat' occured: 1
'afraid' occured: 148
'afresh' occured: 8
'africa' occured: 8
'africans' occured: 1
'after' occured: 841
'afterglow' occured: 1
'afterlife' occured: 1
'afternoon' occured: 14
'afterward' occured: 1
'afterwards' occured: 43
'afwaid' occured: 1
'again' occured: 709
'against' occured: 224
'agate' occured: 2
'age' occured: 44
'aged' occured: 18
